Area,Round,Bright,Compact,ShpIndx,Mean_G,Mean_R,Mean_NIR,SD_G,SD_R,SD_NIR,LW,GLCM1,Rect,GLCM2,Dens,Assym,NDVI,BordLngth,GLCM3,Area_140,Round_140,Bright_140,Compact_140,ShpIndx_140,Mean_G_140,Mean_R_140,Mean_NIR_140,SD_G_140,SD_R_140,SD_NIR_140,LW_140,GLCM1_140,Rect_140,GLCM2_140,Dens_140,Assym_140,NDVI_140,BordLngth_140,GLCM3_140,class
329,1.27,153.44,1.96,1.93,180.02,139.89,140.4,8.67,9.38,8.41,1.22,0.62,0.71,6.72,1.84,0.3,0.13,140,2840.64,2605,0.84,143.92,1.83,1.62,173.37,126.44,131.94,35.47,33.9,32.48,1.83,0.89,0.81,8.64,1.97,0.66,0.16,330,723.15,pool 
73,0.95,172.08,1.48,1.52,180.96,167.49,167.79,19.65,18.4,17.11,1.33,0.59,0.77,6.27,1.68,0.49,0.04,52,3291.16,6571,2.87,130.57,5.73,6.77,122.37,132.73,136.6,50.03,48.44,47.2,1.53,0.88,0.26,9.38,1.24,0.19,-0.04,2196,879.41,grass 
82,0.71,74.1,1.39,1.55,58.48,78.12,85.7,7.68,7.14,6.29,3.17,0.43,0.83,5.89,1.48,0.82,-0.14,56,4242.99,7183,1.59,89.43,2.26,4.32,86.15,87.44,94.71,38.2,36.31,35.19,1.37,0.87,0.69,9.01,1.92,0.24,-0.01,1466,863.47,asphalt 
683,0.94,224.04,1.8,2.31,198.2,236.61,237.33,6.2,5.78,6.27,2.45,0.52,0.82,6.37,1.64,0.83,-0.09,242,2980.77,33294,2.15,223.23,4.87,6.35,197.53,235.59,236.57,13.19,12.57,12.64,4.39,0.8,0.39,7.5,0.75,0.98,-0.09,4632,1208.86,concrete 
304,1.43,156.08,2.39,2.24,219.78,113.65,134.81,10.41,8.5,9.39,2.1,0.78,0.66,6.78,1.56,0.74,0.32,156,1508.96,9773,1.74,166.02,3.11,4.07,214.23,134.86,148.96,31.68,31.81,28.82,1.32,0.89,0.58,8.3,1.75,0.59,0.23,1608,651.56,grass 
936,1.35,59.58,2.31,2.26,47.22,63.21,68.32,7.44,7.01,7.04,1.5,0.39,0.72,6.67,1.88,0.4,-0.14,276,3346.09,5182,2,61.09,3.5,3.76,59.56,58.64,65.08,25.9,18.61,18.35,2.29,0.85,0.67,8.07,1.4,0.8,0.01,1082,981.37,asphalt 
66,1.22,129.51,2.05,1.78,163.02,106.27,119.24,14.14,15.33,15.79,1.67,0.62,0.62,6.17,1.46,0.74,0.21,58,3731.47,6015,1.73,145.12,2.55,4.99,176.36,124.78,134.23,33.01,27.74,27.19,1.39,0.9,0.69,8.71,1.87,0.25,0.17,1548,616.82,tree 
409,1.97,162.06,3.01,3.16,202.07,135.9,148.22,11.1,9.26,9.69,2.38,0.78,0.59,7.05,1.3,0.8,0.2,256,1702.02,12670,1.93,151.4,2.7,3.86,197.46,121.44,135.3,21.72,20.26,19.42,1.48,0.88,0.65,8.04,1.76,0.51,0.24,1738,672.3,grass 
247,1.09,111.39,2.6,2.42,174.87,73.6,85.7,20.22,13.27,14.3,2.33,0.75,0.69,7.34,1.52,0.78,0.41,152,2152.59,4930,2.6,145.91,5.95,6.42,178.73,126.39,132.62,44.06,51.64,47.58,1.11,0.86,0.34,9.32,1.22,0.45,0.17,1802,1053.96,tree 
1086,0.9,225.11,1.93,2.43,203.95,235.36,236.03,8.98,8.02,8.07,3,0.6,0.81,6.71,1.6,0.84,-0.07,320,2136.39,20749,2.82,225.46,6.6,4.99,202.73,236.67,236.96,15.58,20.25,19.46,2.8,0.78,0.37,7.6,0.89,0.88,-0.08,2874,1251.11,concrete 
170,1.21,165.36,1.71,2.03,217.84,132.48,145.76,17.98,18.17,17.72,2.9,0.72,0.75,6.93,1.51,0.78,0.24,106,2138.41,1323,2.83,177.46,5.22,3.64,195.75,167.06,169.58,29.31,36.19,33.55,1.54,0.83,0.64,8.16,1.56,0.44,0.08,530,1086.63,tree 
245,1.87,124.5,3.09,3.07,158.87,105.35,109.27,14.2,12.29,9.83,2.48,0.77,0.62,6.89,1.22,0.87,0.2,192,1739.08,2854,1.73,149.77,3.35,4.03,188.68,127.14,133.5,34.99,34.16,30.53,1.98,0.89,0.45,8.72,1.47,0.53,0.19,862,767.15,grass 
63,1.45,79.13,2.48,2.08,111.73,57.78,67.87,19.37,11.25,10.71,1.08,0.76,0.67,6.24,1.56,0.25,0.32,66,2394.75,6307,1.72,140.8,3,4.89,172.47,121.23,128.69,41.23,39.24,37.04,2.66,0.89,0.53,9.31,1.26,0.86,0.17,1554,772.7,tree 
273,1.9,199.04,3.69,3.72,174.95,210.63,211.54,6.47,7.33,7.46,1.75,0.41,0.5,6.41,1.25,0.75,-0.09,246,4067.15,2639,1.54,194.32,1.66,2.64,171,205.05,206.92,29.76,32.7,33.25,1.22,0.83,0.8,7.39,2.02,0.37,-0.09,542,600.5,building 
536,2.15,164.63,3.91,4.23,177.74,159.28,156.86,9.34,9.34,9.34,2.93,0.56,0.36,7.07,0.93,0.91,0.05,392,3335.79,13429,1.77,166.23,2.63,6.77,179.54,159.36,159.77,16.65,19.82,18.26,12.38,0.8,0.6,7.93,0.78,0.99,0.06,3136,1190.78,grass 
625,1.21,82.59,2.12,2.4,66.72,87.69,93.36,7.25,7.52,7.56,1.29,0.54,0.78,6.67,1.97,0.36,-0.14,240,3000.22,3741,1.16,90.56,1.87,3.48,74.14,95.81,101.72,18.49,21.44,21.02,1.32,0.78,0.79,7.97,2.12,0.34,-0.13,852,1526.12,asphalt 
45,0.06,228.94,1,1.04,198.42,242.38,246.02,16.09,15.26,14.59,1.8,0.41,1,5.64,1.69,0.53,-0.1,28,4664.27,3451,1.87,198.04,3.49,3.85,175.42,207.87,210.84,26.62,27.32,25.78,1.39,0.87,0.39,8.42,1.32,0.65,-0.08,904,913.09,car 
167,1.24,100.06,1.78,2.09,154.23,66.38,79.57,12.89,10.49,10.48,1.96,0.69,0.76,6.72,1.62,0.68,0.4,108,2519.73,9312,2.03,100.41,4.48,6.33,133.37,79.99,87.87,50.43,34.4,33.67,1.59,0.92,0.43,9.26,1.37,0.55,0.25,2442,539.51,tree 
2137,0.74,234.44,1.15,1.27,215.35,252.66,235.32,6.64,3.62,7.41,1.62,0.34,0.92,6.51,2.18,0.5,-0.08,234,3258.83,3154,1.21,233.46,1.56,1.48,217.11,250.56,232.72,10.61,8.89,10.07,1.2,0.54,0.75,6.92,2.08,0.37,-0.07,332,2164.08,building 
71,0.32,240.96,1.18,1.13,219.9,250.18,252.8,12.41,6.29,4.16,1.71,0.37,0.93,6.07,1.8,0.47,-0.06,38,4957.22,7457,0.93,195.75,1.68,2.54,170.69,205.82,210.75,34.69,40.68,40.09,1,0.86,0.86,8.57,2.26,0.04,-0.09,876,868.13,car 
1233,1.22,238.8,2.15,2.79,213.01,251.59,251.79,6.65,4.26,4.01,2.59,0.46,0.78,6.52,1.74,0.76,-0.08,392,3163.71,6689,1.5,229.04,3.02,3.89,203.06,241.23,242.83,19.62,19.87,18.59,1.95,0.76,0.65,7.66,1.58,0.76,-0.09,1272,1057.52,concrete 
789,2.49,243.37,3.7,3.04,225.25,252.69,252.17,9.14,4.19,4.53,2.14,0.51,0.53,6.81,1.27,0.83,-0.06,342,2832.78,6826,1.24,242.21,1.68,2.45,228.26,249.3,249.06,11.38,12.39,12.63,1.19,0.66,0.7,7.21,2.05,0.35,-0.04,810,1937.95,concrete 
2251,1.19,235.38,1.23,1.35,200.77,252.67,252.69,6.77,3.38,3.46,1.43,0.51,0.92,6.59,2.17,0.47,-0.11,256,2864.24,3086,0.66,235.89,1.73,1.42,205.84,250.92,250.91,14.07,8.39,8.38,1.26,0.73,0.76,7.28,2.28,0.09,-0.1,316,1515.92,building 
1307,0.95,232.47,1.74,2.48,203.99,246.36,247.07,6.12,5.33,5.37,4.03,0.4,0.81,6.34,1.35,0.93,-0.09,358,3111.32,13480,2.09,237.26,4.2,5.4,213.28,249.38,249.14,13.07,8.59,8.75,3.14,0.8,0.38,7.44,1.1,0.82,-0.08,2506,1345.07,concrete 
470,0.82,84.78,1.45,1.61,66.73,91.24,96.37,7.26,7.64,7.61,1.7,0.47,0.87,6.47,2.07,0.35,-0.16,140,3251.38,4226,2.73,81.69,4.5,4.73,84.98,77.87,82.22,41.75,31.49,30.71,1.94,0.88,0.23,9.01,1.04,0.68,0.04,1230,933.73,asphalt 
200,1.71,134.45,3.15,3.18,177.56,105.4,120.4,15.2,15.62,14.66,2.41,0.7,0.58,7.11,1.23,0.81,0.26,180,2709.73,9008,1.98,146.48,3.14,6.22,164.44,134.07,140.94,45.22,44.87,42.06,1.96,0.91,0.38,9.27,1.28,0.7,0.1,2360,633.2,tree 
187,2.4,143.35,3.91,2.71,175.4,121.78,132.87,16.46,9.82,9.46,2.53,0.77,0.28,6.93,0.9,0.93,0.18,148,1972.11,9008,1.98,146.48,3.14,6.22,164.44,134.07,140.94,45.22,44.87,42.06,1.96,0.91,0.38,9.27,1.28,0.7,0.1,2360,633.2,grass 
280,1.25,208.52,1.93,1.94,186.19,219.72,219.65,9.99,8.1,8.52,2.4,0.76,0.77,6.62,1.59,0.78,-0.08,130,1693.42,10571,2.95,202.73,4.63,6.88,185.58,211.16,211.45,24.51,27.17,26.84,3.16,0.84,0.24,8.45,0.86,0.9,-0.06,2828,1034.07,concrete 
100,0.87,238.73,1.8,1.55,217,250.46,248.72,10.6,6.45,7.87,1.25,0.27,0.76,6.15,1.73,0.56,-0.07,62,5474.5,826,2.18,160.54,2.67,3.11,135.79,172,173.82,51.04,53.17,51.97,2.62,0.83,0.65,8.47,1.34,0.78,-0.12,358,1264.21,car 
186,0.7,47.38,1.55,1.36,35.9,50.9,55.34,9.88,12.07,10.68,1.13,0.38,0.88,6.52,2.01,0.21,-0.17,74,4008.16,1984,2.02,128.99,2.43,3.54,113.34,137.45,136.17,54.65,59.11,57.4,2.73,0.87,0.65,8.86,1.31,0.86,-0.1,630,949.91,shadow 
334,0.79,39.04,1.51,1.7,40.48,35.25,41.4,8.16,6.47,6.8,2.57,0.59,0.84,6.41,1.73,0.78,0.07,124,2520.11,545,0.38,52.6,1.25,1.29,58.14,46.18,53.48,32.23,20.06,21.21,2.35,0.88,0.9,7.28,1.86,0.74,0.11,120,952.35,shadow 
621,1.11,224,2.04,2.43,204.28,233.84,233.88,8.6,8.04,8.54,2.39,0.59,0.79,6.67,1.79,0.67,-0.07,242,2300.73,29902,2.75,227.5,6.01,5.71,204.95,238.32,239.24,17.22,17.47,16.75,2.13,0.79,0.45,7.71,1.06,0.8,-0.08,3948,1032.67,concrete 
885,0.84,215.02,1.54,2.02,185.89,233.09,226.09,6.53,6.38,6.62,2.47,0.42,0.86,6.51,1.77,0.77,-0.11,240,3347.03,2262,1.08,217.26,1.87,2.3,190.72,233.82,227.25,14.42,14.77,15.03,1.72,0.76,0.71,7.56,1.79,0.65,-0.1,438,1618.71,building 
103,1.04,146.87,1.91,2.22,214.14,104.67,121.8,11.91,8.54,10.45,3.01,0.72,0.66,6.47,1.24,0.88,0.34,90,2689.2,1574,2.31,121.69,2.82,2.89,173.94,88.73,102.42,49.17,30.43,33.09,1.96,0.93,0.59,8.53,1.39,0.76,0.32,458,519.38,tree 
172,1.76,87.65,2.48,2.52,119.3,67.27,76.37,30.87,20.15,19.68,1.58,0.81,0.6,7.18,1.53,0.43,0.28,132,1575.07,6804,2.95,143.74,5.33,6.47,185.05,120.09,126.07,39.41,40.41,33.57,1.69,0.9,0.4,9.16,1.16,0.7,0.21,2134,705.43,tree 
92,1.49,120.16,2.61,2.09,182.95,81.4,96.14,22.61,12.66,14.27,2.4,0.81,0.68,6.53,1.41,0.72,0.38,80,1718.18,2246,1.6,79.93,2.67,3.17,97.2,67,75.59,57.42,32.99,33.88,1.74,0.94,0.59,8.61,1.54,0.52,0.18,600,471.05,tree 
1323,0.92,233.92,1.85,2.67,210.1,245.54,246.1,6.04,5.89,5.94,3.92,0.35,0.75,6.35,1.35,0.93,-0.08,388,3399.32,13859,2.61,232.74,4.67,4.84,213.85,242.3,242.07,14.09,16.3,16.99,2.29,0.77,0.35,7.57,0.97,0.86,-0.06,2280,1469.01,concrete 
1677,0.81,237.41,1.37,1.42,206.77,252.81,252.64,6.75,3.21,3.4,1.13,0.35,0.84,6.36,2.19,0.28,-0.1,232,2843.88,13859,2.61,232.74,4.67,4.84,213.85,242.3,242.07,14.09,16.3,16.99,2.29,0.77,0.35,7.57,0.97,0.86,-0.06,2280,1469.01,building 
1754,0.54,222.6,1.27,1.71,184.07,239.22,244.51,7.06,7.03,6.59,2.47,0.45,0.94,6.69,1.97,0.69,-0.13,286,3268.59,14453,1.47,232.35,2.15,4.9,203.23,246.15,247.67,16.23,12.54,11.44,1.26,0.81,0.68,7.77,1.93,0.35,-0.1,2356,1198.84,building 
636,1.69,42.3,2.59,2.54,48.24,35.89,42.76,6.87,6.06,6.24,1.63,0.57,0.67,6.5,1.6,0.67,0.15,256,2869.18,2158,1.47,58.32,2.53,2.99,71.35,48.23,55.39,26.04,16.43,16.89,1.55,0.9,0.76,8.16,1.85,0.57,0.19,556,768.36,shadow 
57,0.8,192.74,1.8,1.72,234.07,167.81,176.35,9.31,5.66,5.8,1.29,0.7,0.81,5.9,1.72,0.34,0.16,52,2870.57,2696,1.14,153.15,1.63,1.64,194.94,125.65,138.87,27.08,21.79,21,1.57,0.9,0.82,8.22,2.03,0.54,0.22,340,630.13,grass 
118,1.01,197.12,1.7,1.61,109.33,228.6,253.43,10.28,13.35,3.15,1.18,0.57,0.78,6.36,1.87,0.25,-0.35,70,3151.72,4544,1.07,217.99,1.52,1.72,184.64,232.08,237.24,26.87,19.55,17.39,1.2,0.9,0.8,7.73,2.16,0.37,-0.11,464,564.77,pool 
109,0.87,238.7,1.22,1.53,225.57,245.08,245.45,13.95,14.3,14.11,2.71,0.34,0.86,6.24,1.53,0.78,-0.04,64,4948.49,2283,1.51,191.47,2.48,2.92,179.71,196.73,197.98,34.14,38.73,36.91,2.02,0.84,0.56,8.6,1.56,0.7,-0.05,558,1157.78,car 
36,0.44,152.55,1.75,1.33,227.67,107.86,122.11,24.89,7.67,10.79,1.29,0.75,0.74,5.63,1.64,0.23,0.36,32,2064.29,5285,1.95,94.33,3.6,5.81,125.23,74.95,82.81,57.32,38.9,38.25,2.44,0.93,0.34,9.02,1.04,0.87,0.25,1690,511.4,tree 
47,1.33,188.23,2,2.12,105.06,209.36,250.28,9.33,14.48,6.28,2.67,0.57,0.62,5.65,1.22,0.85,-0.33,58,3807.93,2700,0.87,197.31,1.67,1.92,172.19,219.91,199.82,25.42,20.43,29.7,1.21,0.88,0.86,8.05,2.17,0.35,-0.12,400,808.07,pool 
1857,0.98,245.3,1.42,1.42,230.66,252.71,252.52,6.92,3.21,3.69,1.19,0.54,0.86,6.52,2.22,0.26,-0.05,244,2685.84,2761,0.41,240.05,1.16,1.19,224.04,247.97,248.12,20.97,17.18,17.03,1.4,0.82,0.94,7.32,2.3,0.27,-0.05,250,860.52,building 
282,2.79,153.69,4.26,3.42,191.29,129.4,140.37,16.47,13.8,12.37,2.3,0.66,0.4,7.28,0.97,0.88,0.19,230,2732.18,1344,2.61,154.37,3.95,3.74,188.03,133.39,141.69,53.07,44.5,44.15,1.15,0.9,0.61,8.29,1.61,0.27,0.17,548,684.94,grass 
250,0.98,58.2,2.08,2.25,75.01,45.52,54.06,14.59,8.64,8.81,3.76,0.75,0.76,6.88,1.29,0.92,0.24,142,2038.91,1967,2.42,89.28,6.2,4.42,110.03,75.68,82.14,44.52,33.1,34.03,1.66,0.89,0.34,8.91,1.32,0.37,0.18,784,769.5,shadow 
599,1.68,229.04,2.62,3.25,202.44,242,242.67,7.56,6.97,7.34,2.07,0.61,0.55,6.69,1.44,0.7,-0.09,318,2680.65,16276,1.9,223.16,3.39,5.56,198.69,235.21,235.57,20.02,21.97,21.4,3.75,0.72,0.62,7.77,1.39,0.8,-0.08,2836,1169.53,concrete 
366,3.52,179.76,6.22,3.61,215.12,156.36,167.81,19.23,16.66,15.74,1.47,0.75,0.31,7.51,1.09,0.57,0.16,276,1663.67,2699,2.16,159.66,4.24,5.3,175.65,146.94,156.37,46.3,46.67,43.45,2.27,0.86,0.43,8.99,1.22,0.7,0.09,1102,989.19,tree 
213,1.24,65.47,1.4,1.75,50.66,68.69,77.07,13.4,15.93,16.28,1.77,0.57,0.81,6.68,1.83,0.53,-0.15,102,3325.36,4930,2.16,127.08,3.69,4.09,132.64,120.53,128.07,63.03,52.9,51.35,1.64,0.91,0.61,8.86,1.41,0.6,0.05,1148,640.07,shadow 
303,2.17,140.56,4.04,3.82,164.86,125.18,131.65,13.53,14.23,13.42,1.37,0.58,0.29,7.16,1.22,0.48,0.14,266,3252.37,4930,2.16,127.08,3.69,4.09,132.64,120.53,128.07,63.03,52.9,51.35,1.64,0.91,0.61,8.86,1.41,0.6,0.05,1148,640.07,grass 
92,1.83,131.63,3.94,3.08,163.97,108.93,121.99,15.71,13.84,13.42,1.9,0.55,0.38,6.58,1.08,0.61,0.2,118,4825.24,1843,1.25,134.26,2.05,2.33,169.7,110.73,122.34,50.05,36.92,38.5,1.87,0.92,0.8,8.7,2.02,0.5,0.21,400,572.44,tree 
100,1.19,176.71,2.11,1.85,220.99,148.63,160.52,16.85,15.79,14.63,1.61,0.7,0.71,6.52,1.52,0.7,0.2,74,2538.6,3077,2.41,142.43,3.94,5.51,179.12,119.64,128.52,36.98,32.13,31.02,1.59,0.9,0.39,9.04,1.27,0.75,0.2,1222,748.96,tree 
160,0.6,236.88,1.35,1.58,206.3,251.92,252.43,7.69,3.84,3.85,2.67,0.53,0.86,6.4,1.64,0.79,-0.1,80,3205.53,2684,0.74,210.49,1.37,1.25,187.36,224.56,219.55,23.42,22.1,23.3,1.26,0.88,0.87,7.91,2.25,0.27,-0.09,260,811.88,building 
1615,0.62,175.57,1.44,1.67,154.08,187.47,185.17,7.85,7.57,7.86,1.2,0.5,0.86,6.65,2.22,0.38,-0.1,268,2580.55,2105,0.68,177.4,1.28,1.33,155.31,189.15,187.73,13.45,16.06,17.14,1.04,0.73,0.9,7.24,2.3,0.26,-0.1,244,1591.21,building 
30,0.17,225.34,1.59,1.28,207.03,234.03,234.97,24.92,20.5,19.43,1.56,0.49,0.84,5.29,1.59,0.47,-0.06,28,4946.9,3688,1.81,121.17,2.65,3.83,145.21,106.31,111.98,51.83,41.43,39.95,1.45,0.91,0.65,9.01,1.75,0.41,0.15,930,618.72,car 
1256,1.14,236.14,1.81,2.27,210.01,249.04,249.36,6.59,5.27,5.21,3.64,0.44,0.83,6.54,1.43,0.91,-0.09,322,3217.36,10440,2.16,236.47,4.09,4.59,216.76,247.95,244.69,15.59,13.6,15.62,1.15,0.75,0.39,7.59,1.33,0.55,-0.07,1874,1288.88,concrete 
507,0.49,227.02,1.33,1.42,224.92,252.78,203.38,7.11,3.27,6.34,1.08,0.63,0.89,6.52,2.17,0.21,-0.06,128,2449.79,2935,1.04,231.23,1.51,1.91,229.85,250.83,213,11.66,8.04,14.49,1.02,0.77,0.79,7.21,2.11,0.27,-0.04,414,1487.56,building 
1844,0.56,207.71,1.28,1.56,174.49,226.7,221.95,6.48,6.2,6.36,1.28,0.43,0.87,6.53,2.26,0.33,-0.13,268,3218.7,3354,0.88,215.03,1.38,1.76,187.18,230.94,226.98,23.63,15.12,15.93,1.28,0.86,0.84,7.84,2.2,0.19,-0.1,408,957.52,building 
138,0.73,140.6,1.37,1.36,76.49,146.42,198.89,16.47,16.49,13.79,2.33,0.62,0.84,6.47,1.69,0.74,-0.31,64,2277.82,214,0.7,142.18,1.21,1.26,83.25,148.94,194.34,25.91,26.43,30.09,2.6,0.7,0.89,6.96,1.69,0.78,-0.28,74,2476.92,pool 
491,1.24,224.05,2.09,2.55,195.91,237.16,239.1,7.54,7.69,7.5,1.64,0.6,0.71,6.72,1.97,0.34,-0.1,226,2972.7,11886,2.6,235.69,4.59,4.19,208.84,248.74,249.48,11.65,8.32,7.68,1.57,0.78,0.39,7.37,1.23,0.6,-0.09,1826,1416.56,concrete 
331,0.62,171.45,1.33,1.7,149.52,181.65,183.18,7.8,8.22,7.93,5.44,0.39,0.9,6.64,1.26,0.95,-0.1,124,4137.66,21265,3.56,176.46,8.85,5.32,176.79,174.97,177.63,33,26.69,25.35,1.54,0.92,0.17,8.86,0.94,0.25,0.01,3104,530.61,concrete 
120,0.81,205.11,1.52,1.46,226.85,192.22,196.28,8.88,7.37,7.56,1.08,0.63,0.82,6.18,1.9,0.17,0.08,64,2387.5,21265,3.56,176.46,8.85,5.32,176.79,174.97,177.63,33,26.69,25.35,1.54,0.92,0.17,8.86,0.94,0.25,0.01,3104,530.61,grass 
198,1.78,166.11,2.57,2.31,201.24,146.52,150.57,8.91,9.56,8.51,2.15,0.66,0.61,6.54,1.35,0.83,0.16,130,2480.19,13991,2.41,133.05,5.11,7.27,162.18,115.04,121.93,50.67,41.02,38.8,1.67,0.92,0.45,9.19,1.25,0.69,0.17,3440,555.41,grass 
220,0.94,83.28,1.88,1.82,71.66,87.35,90.85,12.96,11.13,11.1,2.53,0.72,0.8,6.75,1.66,0.78,-0.1,108,2303.52,5102,3.15,133.88,5.9,5.6,156.66,118.66,126.31,42.79,31.99,31.05,2.11,0.92,0.31,9.06,0.95,0.77,0.14,1600,545.02,asphalt 
230,1.6,154.25,3.46,3.26,179.89,139.78,143.09,21.47,19.49,16.62,1.78,0.74,0.39,7.29,1.21,0.76,0.13,198,2189.35,5420,2.07,118.3,3.26,3.38,137.43,105.51,111.97,53.77,43.93,43.02,1.76,0.94,0.53,8.95,1.49,0.72,0.13,994,430.57,tree 
485,1.72,40.64,2.04,2.82,41.04,38.14,42.73,7.81,6.84,6.77,5.85,0.54,0.55,6.69,0.98,0.96,0.04,248,3527.8,1592,1.92,47.88,3.13,2.84,54.03,41.95,47.64,18.65,11.38,11.69,2.4,0.83,0.54,7.75,1.47,0.63,0.13,454,1282.29,shadow 
417,2.08,72.22,2.48,2.89,60.25,75.79,80.61,11.07,7.01,7.55,2.93,0.72,0.55,6.72,1.15,0.87,-0.11,236,1899.95,8264,2.04,90.98,3.15,4.33,83.65,92.35,96.93,31.9,32.6,31.38,1.11,0.85,0.55,8.69,1.65,0.4,-0.05,1576,995.03,asphalt 
232,0.64,143.15,1.93,1.61,208.58,102.52,118.36,17.25,10.83,10.41,1.63,0.86,0.81,6.91,1.93,0.47,0.34,98,935.99,3212,1.37,143.95,2.18,2.63,180.52,120.69,130.63,43.89,44.8,42.11,2.87,0.9,0.76,8.95,1.52,0.88,0.2,596,701.1,tree 
143,1.29,188.48,2.45,2.3,205.05,181.36,179.03,6.53,8.9,7.27,2.08,0.54,0.63,6.24,1.51,0.69,0.06,110,3570.17,11327,1.57,184.71,2.35,6.37,195.69,180.79,177.64,12.8,13.76,12.83,11.79,0.8,0.68,7.53,0.72,0.99,0.04,2710,1297.47,grass 
2813,0.64,238.36,1.25,1.56,210.09,252.36,252.63,6.35,4.27,3.81,2.31,0.26,0.93,6.46,2,0.69,-0.09,330,3580.32,7452,1.75,234.07,2.21,3.39,209.2,246.83,246.17,15.74,16.76,19.23,1.14,0.71,0.55,7.39,1.71,0.65,-0.08,1172,1594,building 
499,1.36,212.17,1.98,2.35,188.33,239.75,208.43,7.25,6.97,7.24,2.07,0.46,0.8,6.63,1.77,0.65,-0.12,210,3364.15,8993,1.01,205.19,1.28,2.02,183.02,226.65,205.89,17.64,20.95,18.12,1.36,0.78,0.95,7.64,2.3,0.27,-0.11,768,1254.3,building 
159,1.62,206.37,2.49,2.66,204.64,207.21,207.27,12.24,14.47,14.88,2.75,0.51,0.58,6.75,1.25,0.88,-0.01,134,4026.17,10641,1.74,162.5,2.98,5.03,178.82,152.87,155.81,26.9,30.08,27.41,3.11,0.87,0.69,8.76,1.44,0.82,0.08,2076,876.49,soil 
